,date,capacity,turnover,open,high,low,close,change,transaction
34,2020-10-22,4118970,499103380,123.0,124.0,119.5,120.0,-3.0,2456
35,2020-10-23,2713154,329938788,121.0,123.0,120.0,122.0,2.0,1615
36,2020-10-26,2431619,295372479,122.0,122.5,120.5,122.0,0.0,1396
37,2020-10-27,2530381,308475352,121.0,123.5,120.5,122.5,0.5,1693
38,2020-10-28,2817440,342861140,122.5,123.0,120.5,121.5,-1.0,1758
39,2020-10-29,2190610,263680824,119.0,122.0,118.5,122.0,0.5,1503
40,2020-10-30,10077561,1185229809,118.0,119.0,116.0,116.5,-5.5,5958
41,2020-11-02,4010202,456196756,116.5,117.0,112.5,113.0,-3.5,2661
42,2020-11-03,1959075,224866874,114.5,116.0,113.5,114.5,1.5,1334
43,2020-11-04,1554560,180022890,115.5,117.0,114.5,116.0,1.5,1016
44,2020-11-05,2916616,335962658,116.0,116.5,114.5,115.0,-1.0,1223
45,2020-11-06,2963823,348600593,116.0,118.5,115.0,118.5,3.5,2020
46,2020-11-09,2997271,356157063,119.5,120.5,118.0,118.5,0.0,1886
47,2020-11-10,3713762,432359351,119.0,119.0,115.0,115.5,-3.0,2280
48,2020-11-11,2227765,261781673,115.5,118.5,115.5,118.0,2.5,1463
49,2020-11-12,2771828,328748158,120.0,120.0,118.0,118.5,0.5,1672
50,2020-11-13,3089190,360778406,118.0,118.5,116.0,116.5,-2.0,1984
51,2020-11-16,3655556,433138012,117.5,120.0,117.5,117.5,1.0,2350
52,2020-11-17,3026431,354339660,118.0,119.0,116.0,117.0,-0.5,1999
53,2020-11-18,6227043,715487360,116.5,117.0,114.0,114.5,-2.5,4311
54,2020-11-19,4917707,558979158,113.5,114.5,113.0,114.0,-0.5,2752
55,2020-11-20,6124889,698430375,114.0,116.0,113.0,114.0,0.0,3894
56,2020-11-23,2214707,253489688,114.5,115.5,113.5,114.5,0.5,1524
57,2020-11-24,4487373,520020001,115.0,117.0,114.5,115.5,1.0,3266
58,2020-11-25,2827831,329416363,116.5,117.5,115.5,116.5,1.0,2016
59,2020-11-26,4081615,476930941,117.0,118.0,115.5,117.0,0.5,2522
60,2020-11-27,2840514,333056949,117.0,118.0,116.0,117.5,0.5,1726
61,2020-11-30,8885097,1065490956,118.5,121.5,117.5,120.0,2.5,5217
62,2020-12-01,6085717,739501178,121.5,122.5,119.5,122.5,2.5,3937
63,2020-12-02,3446737,421433341,123.5,123.5,121.0,122.5,0.0,2419
64,2020-12-03,3508908,429551001,123.5,124.0,121.0,121.5,-1.0,2355
65,2020-12-04,3652585,440970904,121.5,122.0,120.0,121.0,-0.5,2287
66,2020-12-07,6018481,729721973,123.0,123.5,119.5,121.5,0.5,3288
67,2020-12-08,6279886,775160302,123.0,124.5,122.0,123.5,2.0,4324
68,2020-12-09,4047437,497878887,124.0,125.0,122.0,122.5,-1.0,2844
69,2020-12-10,6308039,757031813,122.0,122.0,119.0,120.0,-2.5,4435
70,2020-12-11,4953423,582959645,120.5,121.0,116.0,117.0,-3.0,3342
71,2020-12-14,1718428,200735498,117.5,118.0,115.5,117.0,0.0,1244
72,2020-12-15,3926576,449226015,117.0,117.0,113.0,113.5,-3.5,2629
73,2020-12-16,4078429,478202860,115.0,118.5,115.0,118.5,5.0,2316
74,2020-12-17,2032325,239915268,117.5,119.0,116.5,118.0,-0.5,1342
75,2020-12-18,3831310,458950232,118.5,121.0,118.5,120.0,2.0,2350
76,2020-12-21,3166923,376860529,120.0,120.5,118.0,119.0,-1.0,1352
77,2020-12-22,3331481,393248796,119.5,119.5,116.0,117.5,-1.5,1820
78,2020-12-23,1593916,188361568,118.5,119.0,117.0,118.5,1.0,1123
79,2020-12-24,3175852,381407010,119.5,121.0,119.0,119.5,1.0,1757
80,2020-12-25,1702270,204189962,121.0,121.5,118.5,119.5,0.0,1226
81,2020-12-28,1530106,182643005,119.5,120.0,119.0,119.5,0.0,1148
82,2020-12-29,4668149,564483709,120.5,122.5,120.0,120.0,0.5,3187
83,2020-12-30,1855344,224080745,121.0,121.5,120.0,121.0,1.0,1352
84,2020-12-31,1383206,166964563,121.0,121.5,120.0,121.0,0.0,829
85,2021-01-04,3681882,451410529,121.0,124.0,120.5,123.0,2.0,2486
86,2021-01-05,2854509,348362129,123.0,123.0,121.0,123.0,0.0,1912
87,2021-01-06,8773724,1087519251,124.0,126.0,122.0,122.5,-0.5,5810
88,2021-01-07,4747100,588058378,124.0,125.0,122.5,124.0,1.5,3096
89,2021-01-08,3929256,483481130,124.5,125.0,122.0,122.5,-1.5,2645
90,2021-01-11,3215128,393678965,123.0,123.5,121.0,122.5,0.0,1845
91,2021-01-12,4559784,548978787,122.5,122.5,119.0,119.0,-3.5,2956
92,2021-01-13,6700419,808280829,120.0,122.5,119.5,120.0,1.0,3428
93,2021-01-14,10477896,1289918371,120.0,125.0,120.0,124.5,4.5,6697
94,2021-01-15,9046395,1099000617,124.5,125.0,120.0,120.5,-4.0,5181
95,2021-01-18,3748313,445245458,119.5,120.5,117.0,120.0,-0.5,2115
96,2021-01-19,3063805,363345179,120.0,120.5,118.0,118.5,-1.5,2025
97,2021-01-20,6037831,697127212,118.0,118.5,113.5,113.5,-5.0,3751
98,2021-01-21,10937179,1308825432,117.5,122.0,117.0,120.0,6.5,6492
99,2021-01-22,7938507,964764063,120.0,124.0,119.0,121.0,1.0,4746
100,2021-01-25,5117237,625807539,121.5,123.5,120.0,123.0,2.0,3084
101,2021-01-26,6211069,768926003,124.5,125.5,121.5,121.5,-1.5,3952
102,2021-01-27,3575268,441101910,123.0,124.0,122.5,123.0,1.5,2087
103,2021-01-28,3471558,421395124,120.0,123.0,120.0,121.5,-1.5,2315
104,2021-01-29,3785275,455167384,121.5,121.5,118.5,119.0,-2.5,2324
105,2021-02-01,2722578,320213318,119.0,119.0,115.5,117.5,-1.5,1731
106,2021-02-02,2053266,243656446,118.5,120.0,118.0,118.0,0.5,1342
107,2021-02-03,3470976,410387474,119.0,119.5,118.0,118.5,0.5,830
108,2021-02-04,3445263,416276878,118.0,122.5,117.5,122.0,3.5,2084
109,2021-02-05,2871944,351641796,123.0,123.5,121.5,122.5,0.5,1707
110,2021-02-17,5532316,686655817,125.0,125.0,122.5,124.5,2.0,3722
111,2021-02-18,7921803,986903135,125.0,126.0,122.5,125.0,0.5,4278
112,2021-02-19,20144825,2645027437,124.0,134.0,124.0,132.0,7.0,12359
113,2021-02-22,10806141,1401977927,131.5,132.0,128.0,129.5,-2.5,7141
114,2021-02-23,6253998,798265366,128.5,129.0,126.5,128.0,-1.5,4353
115,2021-02-24,6437953,827668768,129.0,131.0,127.0,127.5,-0.5,4242
116,2021-02-25,4112631,531127258,129.0,131.0,128.0,128.0,0.5,3141
117,2021-02-26,3944461,498093407,126.0,127.5,125.5,126.0,-2.0,2926
118,2021-03-02,3916875,491315972,127.5,128.0,123.5,123.5,-2.5,2939
119,2021-03-03,3313273,413369829,125.0,126.0,123.0,126.0,2.5,2130
120,2021-03-04,3333287,414213850,126.5,126.5,123.0,124.0,-2.0,2064
121,2021-03-05,2185097,268801132,122.0,124.0,121.0,124.0,0.0,1614
122,2021-03-08,2936725,361437174,124.5,125.5,121.5,122.5,-1.5,1991
123,2021-03-09,2948665,358059010,123.0,123.5,120.5,121.0,-1.5,2210
124,2021-03-10,2115826,257512612,122.0,123.5,121.0,121.0,0.0,1567
125,2021-03-11,3855021,475820126,122.0,125.0,121.0,124.0,3.0,2495
126,2021-03-12,2143279,265306163,124.0,125.0,123.0,123.0,-1.0,1557
127,2021-03-15,1345054,166887302,124.0,125.0,123.5,124.0,1.0,1084
128,2021-03-16,2144248,266659143,125.0,125.5,123.5,124.0,0.0,1505
129,2021-03-17,4084105,512562642,124.0,127.0,124.0,124.5,0.5,2657
130,2021-03-18,2634857,332382702,125.5,127.0,125.5,126.0,1.5,2040
131,2021-03-19,2360623,294522166,125.0,126.0,124.0,125.0,-1.0,1679
132,2021-03-22,1906767,236882536,125.0,125.0,123.5,124.0,-1.0,1343
133,2021-03-23,1916162,239803290,125.5,126.0,124.0,124.5,0.5,1487
134,2021-03-24,1090474,135929178,124.5,125.5,124.0,124.5,0.0,976
135,2021-03-25,2437186,301481842,124.5,125.0,123.0,123.0,-1.5,1509
136,2021-03-26,1252562,154707637,123.5,124.0,123.0,123.5,0.5,967
