Date,SI_Open,SI_High,SI_Low,SI_Close,Open,High,Low,Close
2019/4/1,10714.67969,10735.07031,10627.00977,10642.62988,94.800003,96.5,93.400002,94.300003
2019/4/2,10695.46973,10728.37988,10685.09961,10690.29981,95.300003,95.599998,93.599998,93.800003
2019/4/3,10725.16992,10741.55957,10690.23047,10704.37988,94,94.599998,91.800003,93.5
2019/4/8,10759.95996,10807.04981,10759.95996,10800.57031,94,95.5,93.599998,95.099998
2019/4/9,10805.38965,10851.59961,10793.76953,10851.59961,98.5,98.800003,93.900002,94
2019/4/10,10839.92969,10875.65039,10815.61035,10868.13965,94.099998,95.300003,93.5,95.199997
2019/4/11,10869.24023,10887.12012,10797.75977,10808.76953,95.300003,95.800003,93.800003,93.800003
2019/4/12,10820.94043,10836.44043,10782.01953,10805.29981,93.800003,96.199997,93.800003,94.699997
2019/4/15,10849.83984,10897.20996,10849.54981,10875.59961,95.699997,98,94.699997,97.099998
2019/4/16,10905.62988,10927.84961,10876.33984,10927.84961,99.099998,103.5,98.800003,102
2019/4/17,10961.61035,11016.91992,10961.61035,10997.25977,103.5,105.5,100,100
2019/4/18,11038.24023,11077.99023,10926.84961,10962.01953,101.5,103.5,100,100.5
2019/4/19,11017.69043,11045.08008,10950.42969,10968.5,102.5,103,100.5,103
2019/4/22,10994.51953,11027.49023,10974.82031,10987.70996,102.5,104.5,100.5,102
2019/4/23,10994.28027,11025.67969,10949.29981,11025.67969,102.5,102.5,97,97.5
2019/4/24,11054.01953,11070.84961,10995.83008,11027.63965,98,98,96.5,96.699997
2019/4/25,11017.73047,11046.76953,11006.67969,11039.86035,96.800003,100.5,96.099998,98.300003
2019/4/26,10986.53027,10986.53027,10906.44043,10952.46973,97.199997,97.699997,94.800003,95
2019/4/29,10952.91016,10992.54981,10905.78027,10939.05957,95.199997,96.099998,93,93.5
2019/4/30,10945.94043,10978.09961,10910.78027,10967.73047,90.199997,97,90,96.900002
2019/5/2,10992.75977,11046.63965,10988.7002,11004.49023,95.599998,96.800003,94.699997,94.800003
2019/5/3,11037.99023,11097,11018.86035,11096.29981,95.5,96.900002,95,96.5
2019/5/6,11005.36035,11005.36035,10870.40039,10897.12012,94.5,95,93.5,94
2019/5/7,10913.9502,11004.75977,10913.9502,10987.13965,95.300003,95.699997,94.199997,94.599998
2019/5/8,10938.46973,10946.82031,10867.05957,10923.70996,93.599998,96.300003,93.5,96.300003
2019/5/9,10910.46973,10910.46973,10732.96973,10733.66992,96,96.900002,94,94
2019/5/10,10751.54981,10834.69043,10669.38965,10712.99023,95,95.400002,92.099998,92.800003
2019/5/13,10684.04004,10693.44043,10549.05957,10558.29004,92.199997,92.300003,87.800003,88.599998
2019/5/14,10480.20996,10544.96973,10363.01953,10519.25,83.900002,88.599998,83.800003,87
2019/5/15,10535.24023,10612.5,10535.24023,10560.70996,87.900002,89.599998,87.800003,88.800003
2019/5/16,10556.58008,10573.92969,10474.61035,10474.61035,88.199997,89.5,85.099998,85.199997
2019/5/17,10508.55957,10564.96973,10384.11035,10384.11035,85.199997,86.199997,81,81.199997
2019/5/20,10405.36035,10465.83984,10385.17969,10398.41016,82,82,79,79.800003
2019/5/21,10362.34961,10477.2002,10342.32031,10464.5,79,81.099998,78,81
2019/5/22,10481.09961,10520.62012,10453.5,10457.21973,80.599998,81.900002,79.5,79.599998
2019/5/23,10404,10404,10289.69043,10308.37012,78.099998,79,77.400002,77.800003
2019/5/24,10313.15039,10370.96973,10308.58984,10328.28027,78.099998,80.300003,77.599998,77.599998
2019/5/27,10344.17969,10365.44043,10305.28027,10334.12988,78,79.5,77.599998,79.5
2019/5/28,10348.58008,10361.61035,10312.30957,10312.30957,80,80.099998,77,77
2019/5/29,10277.34961,10307.75,10227.44043,10301.78027,76.800003,76.900002,75.699997,76.199997
2019/5/30,10307.12012,10384.36035,10306.03027,10382.99023,77,77.800003,76.699997,77.5
2019/5/31,10386.12012,10515.09961,10369.01953,10498.49023,77.5,79.300003,77.300003,78.699997
2019/6/3,10482.4502,10511.2002,10383.50977,10500.07031,78.400002,78.400002,76.800003,77.900002
2019/6/4,10499.50977,10518.33008,10421.80957,10429.12012,78.5,78.5,77.199997,77.199997
2019/6/5,10497.5,10541.29004,10446.50977,10461.62012,78.300003,80,78,79
2019/6/6,10409.90039,10429.33008,10371.08008,10409.2002,78,78.699997,77.099998,77.300003
2019/6/10,10486.23047,10566.46973,10466.24023,10566.46973,77.800003,79.099998,77.5,79.099998
2019/6/11,10567.54004,10637.90039,10548.05957,10607.75977,79.300003,82.900002,78.699997,82.699997
2019/6/12,10605.75,10630.69043,10566.37012,10615.66016,83,83.099998,81.5,82.400002
2019/6/13,10582.19043,10617.05957,10539.49023,10561.00977,82.699997,82.699997,81,82.400002
2019/6/14,10546.41992,10568.91992,10517.82031,10524.66992,82.900002,82.900002,82,82
2019/6/17,10488.7002,10562.96973,10474.19043,10530.54004,82,83.599998,82,82
2019/6/18,10547.15039,10573.76953,10521.7002,10566.74023,82.699997,83,82,82.199997
2019/6/19,10650.48047,10778.63965,10650.48047,10775.33984,85,86.199997,84.099998,85.900002
2019/6/20,10749.41016,10799.13965,10745.25,10785.00977,85.599998,86.699997,85.199997,85.900002
2019/6/21,10817.70996,10840.29004,10773.46973,10803.76953,86.400002,87,85.199997,85.300003
2019/6/24,10734.25,10786.33008,10695.49023,10779.4502,85.300003,85.800003,84.199997,85
2019/6/25,10777.17969,10787.62012,10693.04004,10706.71973,85.300003,86,83.199997,83.300003
2019/6/26,10661.38965,10690.98047,10645.37012,10652.54981,83,84.199997,82.900002,83.300003
2019/6/27,10674.2002,10800.29004,10674.2002,10773.90039,84.099998,85.800003,84,85.199997
2019/6/28,10786.66016,10788.08008,10719.08008,10730.83008,85.900002,86.800003,85.300003,86.199997
2019/7/1,10821.29981,10914.84961,10821.29981,10895.45996,89.5,91.300003,88.800003,90.699997
2019/7/2,10878.00977,10888.20996,10843.63965,10865.12012,90.400002,91.800003,89.800003,90.800003
2019/7/3,10793.09961,10812.65039,10720.66016,10743.76953,90.800003,91.099998,89.599998,90.5
2019/7/4,10755.87012,10791.28027,10750.90039,10775.90039,91.300003,92.599998,91.300003,92.400002
2019/7/5,10785.84961,10812.37988,10756.66992,10785.73047,91.599998,92.199997,91.5,92.199997
2019/7/8,10742.80957,10781.11035,10708.91992,10751.21973,91.199997,92.599998,91,91.599998
2019/7/9,10729.83008,10733.57031,10680.84961,10702.78027,91.199997,91.400002,89.199997,89.800003
2019/7/10,10723.23047,10810.16016,10723.23047,10798.48047,90.5,90.699997,90,90.099998
2019/7/11,10817.59961,10856.50977,10799.65039,10843.41992,90.800003,92.300003,90.800003,91.5
2019/7/12,10855.16016,10867.58984,10823.88965,10824.34961,92,92.5,91.699997,92
2019/7/15,10819.91992,10880.55957,10769.57031,10876.42969,92.800003,94.699997,92.800003,94.099998
2019/7/16,10865,10899.83984,10865,10886.04981,94.5,95,94.099998,94.5
2019/7/17,10861.11035,10861.11035,10804.33984,10828.48047,94.699997,95,93.800003,94.900002
2019/7/18,10821.91992,10835.42969,10792.26953,10799.28027,94.900002,95.400002,93,93.199997
2019/7/19,10861.99023,10919.95996,10861.99023,10873.19043,94.199997,94.800003,93.300003,93.300003
2019/7/22,10910.5,10949.75977,10909.15039,10944.53027,93.699997,95,93.599998,94.599998
2019/7/23,10963.86035,10994.44043,10932.53027,10947.25977,95,95.199997,93.900002,94.599998
2019/7/24,10969.74023,10976.45996,10912.91992,10935.75977,95,95,93.800003,94.099998
2019/7/25,10892.25,10945.91992,10879.40039,10941.41016,94.300003,95.900002,94.300003,95.800003
2019/7/26,10898.25,10907.44043,10879.24023,10891.98047,96,96.5,95.300003,96.400002
2019/7/29,10872.62988,10905.74023,10863.33008,10885.73047,91.5,91.599998,89.599998,90
2019/7/30,10909.98047,10927.16016,10827.74023,10830.90039,89.400002,90.400002,86.5,87
2019/7/31,10824.15039,10835.79981,10754.07031,10823.80957,91,95.699997,91,95.699997
2019/8/1,10773.05957,10773.25,10714.73047,10731.75,96.5,98,95.400002,95.900002
2019/8/2,10641.28027,10641.28027,10524.67969,10549.04004,92,92.900002,91,91
2019/8/5,10528.87012,10542.49023,10418.25,10423.41016,91,92.699997,90.099998,90.199997
2019/8/6,10304.87988,10425.59961,10180.04004,10394.75,88.099998,91.699997,87,91
2019/8/7,10422.88965,10461.37012,10366.54004,10386.17969,93.199997,94.099998,91.199997,91.5
2019/8/8,10383.62012,10500.76953,10383.62012,10494.49023,91.699997,93.199997,91.699997,92.900002
2019/8/12,10491.79004,10514.04981,10440.76953,10472.36035,93.599998,95.199997,93.300003,94.300003
